Trial,Seed,Learning Rate,Momentum,MSE_Trn,MSE_Val,MSE_Test,MSE_All,R2_Trn,R2_Val,R2_Test,R2_All
A,42,0.1,0.1,0.004228346083489846,0.005932656261049219,0.004520773830099621,0.0046289455416303645,0.9138433858796077,0.8793630854148841,0.9359571700355491,0.9136167576421017
B,42,0.1,0.9,0.002676211514777964,0.004043162404833465,0.0029050340161025793,0.0029963666389210644,0.9454696190353054,0.9177847803372675,0.9588462934607583,0.9440831906024381
C,0,0.5,0.5,0.004854084913069193,0.004736876401973515,0.00455346484061624,0.0047702572416611225,0.9084379159106584,0.9202768554043261,0.905159759807532,0.9109796640055531
D,42,0.9,0.1,0.005529696840314009,0.006571518988430995,0.0059869104371550585,0.005830443829305628,0.8873271138486196,0.8663722049587257,0.9151873768631623,0.8911949518888423
E,42,0.9,0.9,0.05043592229476909,0.04923770282633866,0.07077092935549598,0.05427527779917967,-0.027680376477146718,-0.0012183900197584308,-0.0025652168138470266,-0.012860150114763158
